[11657] [05-09-2012 16:30:17]:	Finished writing sequence region
[11657] [05-09-2012 16:31:35]:	going to write exon:   _DDB0202269_CDS_DDB0189305:1784753..1785881
[11657] [05-09-2012 16:31:35]:	going to write exon:   _DDB0215395_CDS_DDB0189305:1005535..1005568
[11657] [05-09-2012 16:31:35]:	going to write exon:   _DDB0215395_CDS_DDB0189305:1003621..1005358
[11657] [05-09-2012 16:31:35]:	going to write exon:   _DDB0216529_CDS_DDB0189305:187698..188373
[11657] [05-09-2012 16:31:35]:	going to write exon:   _DDB0216530_CDS_DDB0189305:189481..190507
[11657] [05-09-2012 16:31:35]:	going to write exon:   _DDB0266858_CDS_DDB0232428:255653..255768
[11657] [05-09-2012 16:31:35]:	going to write exon:   _DDB0266858_CDS_DDB0232428:255874..255891
[11657] [05-09-2012 16:31:35]:	going to write exon:   _DDB0266858_CDS_DDB0232428:256001..256271
[11657] [05-09-2012 16:31:35]:	going to write exon:   _DDB0347307_exon_DDB0232428:2218537..2218843
[11657] [05-09-2012 16:31:35]:	going to write exon:   _DDB0304789_CDS_DDB0232428:507665..507741
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0304789_CDS_DDB0232428:507826..510414
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0216539_CDS_DDB0189305:514291..515921
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0216539_CDS_DDB0189305:513624..514001
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0348319_exon_DDB0232428:542005..544264
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0306542_exon_DDB0232428:554651..556085
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0267075_CDS_DDB0232428:576031..576172
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0267075_CDS_DDB0232428:575712..575842
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0267075_CDS_DDB0232428:575320..575614
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0267075_CDS_DDB0232428:573340..575232
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0267042_CDS_DDB0232428:590683..595168
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0216632_CDS_DDB0189305:2128703..2129091
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0216632_CDS_DDB0189305:2128512..2128625
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0308362_exon_DDB0232428:2162448..2164638
[11657] [05-09-2012 16:31:36]:	going to write exon:   _DDB0304395_CDS_DDB0232428:3682320..3683577
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0307437_exon_DDB0232428:3685707..3686529
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0347250_exon_DDB0232428:3686673..3687885
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0308380_exon_DDB0232428:3688410..3689196
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0306187_CDS_DDB0232428:3698888..3699160
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0306187_CDS_DDB0232428:3697370..3698748
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0220502_CDS_DDB0189305:296386..296755
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0220502_CDS_DDB0189305:295778..296281
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0220502_CDS_DDB0189305:294130..295700
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0347175_exon_DDB0232428:303808..304036
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0308311_exon_DDB0232428:311254..311663
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0308311_exon_DDB0232428:311755..312000
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0308311_exon_DDB0232428:312196..312440
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0308311_exon_DDB0232428:312554..312670
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0233911_CDS_DDB0232428:316040..316757
[11657] [05-09-2012 16:31:37]:	going to write exon:   _DDB0233911_CDS_DDB0232428:313114..315955
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0308313_exon_DDB0232428:323193..324597
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0233209_CDS_DDB0232428:325491..325596
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0233209_CDS_DDB0232428:324844..325039
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0308314_exon_DDB0232428:325872..326286
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0308314_exon_DDB0232428:326377..326929
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0233433_CDS_DDB0232428:327144..330624
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0230206_CDS_DDB0189305:329905..329923
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0230206_CDS_DDB0189305:330137..330467
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0230206_CDS_DDB0189305:330675..330978
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0347870_exon_DDB0232428:2017134..2017584
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0306202_CDS_DDB0232428:2027404..2027584
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0306202_CDS_DDB0232428:2026448..2027333
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0306202_CDS_DDB0232428:2026276..2026447
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0306185_CDS_DDB0232428:2042125..2042338
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0306185_CDS_DDB0232428:2042442..2042691
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0306185_CDS_DDB0232428:2042790..2043126
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0306185_CDS_DDB0232428:2043216..2043517
[11657] [05-09-2012 16:31:38]:	going to write exon:   _DDB0306185_CDS_DDB0232428:2043606..2043681
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0306185_CDS_DDB0232428:2043800..2043871
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0306335_CDS_DDB0232428:1024665..1024917
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0306335_CDS_DDB0232428:1024441..1024535
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0306335_CDS_DDB0232428:1024144..1024356
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0347822_exon_DDB0232428:1693319..1693952
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0349165_exon_DDB0232428:2015221..2015446
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0305443_CDS_DDB0232428:959376..959421
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0305443_CDS_DDB0232428:959527..960403
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0231628_CDS_DDB0189305:954675..954904
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0231628_CDS_DDB0189305:955006..955073
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0231628_CDS_DDB0189305:955160..955185
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0231628_CDS_DDB0189305:955275..955833
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0266643_CDS_DDB0232428:3388869..3390021
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0237641_CDS_DDB0232428:991941..992043
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0237641_CDS_DDB0232428:991661..991857
[11657] [05-09-2012 16:31:39]:	going to write exon:   _DDB0237641_CDS_DDB0232428:991452..991541
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0306304_CDS_DDB0232428:2050766..2050904
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0306304_CDS_DDB0232428:2051008..2051719
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0202319_CDS_DDB0189305:2046600..2046777
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0202320_CDS_DDB0189305:2046778..2047147
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0305177_CDS_DDB0232428:2887576..2887740
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0305177_CDS_DDB0232428:2887844..2888427
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0305880_CDS_DDB0232428:2898938..2899652
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0305878_CDS_DDB0232428:2900454..2901168
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0305917_CDS_DDB0232428:2902022..2902736
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0234024_CDS_DDB0232428:2906328..2906360
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0234024_CDS_DDB0232428:2906120..2906225
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0234024_CDS_DDB0232428:2905171..2906036
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0308372_exon_DDB0232428:2908987..2909031
[11657] [05-09-2012 16:31:40]:	going to write exon:   _DDB0308372_exon_DDB0232428:2908705..2908889
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0308373_exon_DDB0232428:2909435..2910548
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0231662_CDS_DDB0189305:2938154..2938251
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0231662_CDS_DDB0189305:2937862..2938038
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0231663_CDS_DDB0189305:2938911..2939008
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0231663_CDS_DDB0189305:2939139..2939315
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0307419_exon_DDB0232428:2944875..2945241
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0307419_exon_DDB0232428:2944303..2944804
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0229427_CDS_DDB0189305:288898..288962
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0229427_CDS_DDB0189305:288724..288810
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0229427_CDS_DDB0189305:288375..288633
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0229427_CDS_DDB0189305:287570..288263
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0238634_CDS_DDB0232428:2193068..2193204
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0238634_CDS_DDB0232428:2192651..2192965
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0216638_CDS_DDB0189305:2385303..2386638
[11657] [05-09-2012 16:31:41]:	going to write exon:   _DDB0308363_exon_DDB0232428:2393898..2394756
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0216640_CDS_DDB0189305:2390286..2390633
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0216640_CDS_DDB0189305:2390733..2391258
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0216640_CDS_DDB0189305:2391517..2391771
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0216640_CDS_DDB0189305:2391928..2392287
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0216640_CDS_DDB0189305:2393093..2394066
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0216640_CDS_DDB0189305:2394308..2397244
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0190239_CDS_DDB0189305:2712235..2712412
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0232207_CDS_DDB0189305:2715252..2716152
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0267068_CDS_DDB0232428:2724168..2725668
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0267002_CDS_DDB0232428:2725896..2726556
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0191122_CDS_DDB0189305:3163681..3163739
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0191122_CDS_DDB0189305:3162050..3163591
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0302664_CDS_DDB0232428:4888903..4889926
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0231257_CDS_DDB0232428:4887450..4887945
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0231257_CDS_DDB0232428:4888062..4888230
[11657] [05-09-2012 16:31:42]:	going to write exon:   _DDB0231257_CDS_DDB0232428:4888318..4889926
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0191501_CDS_DDB0232428:4888417..4889926
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0305159_CDS_DDB0232428:3301230..3305445
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0307427_exon_DDB0232428:3305787..3308565
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0237977_CDS_DDB0232428:3312236..3313064
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0237977_CDS_DDB0232428:3309659..3312143
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0231577_CDS_DDB0189305:1318802..1321124
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0189730_CDS_DDB0189305:1333164..1333425
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0232225_CDS_DDB0189305:1334080..1334902
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0232225_CDS_DDB0189305:1335062..1335605
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0230999_CDS_DDB0189305:1335981..1336785
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0305263_CDS_DDB0232428:1344275..1344416
[11657] [05-09-2012 16:31:43]:	going to write exon:   _DDB0305263_CDS_DDB0232428:1344545..1344767
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0306516_exon_DDB0232428:1345124..1345191
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0306516_exon_DDB0232428:1345282..1345723
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0306516_exon_DDB0232428:1345817..1346305
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0307275_CDS_DDB0232428:1695027..1695156
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0307275_CDS_DDB0232428:1694817..1694956
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0307275_CDS_DDB0232428:1694511..1694729
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0307275_CDS_DDB0232428:1694354..1694428
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0307275_CDS_DDB0232428:1694067..1694281
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0233906_CDS_DDB0232428:1695569..1696937
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0231356_CDS_DDB0189305:1691016..1692348
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0305342_CDS_DDB0232428:1707464..1708162
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0305342_CDS_DDB0232428:1706998..1707389
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0305342_CDS_DDB0232428:1706493..1706861
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0305342_CDS_DDB0232428:1702483..1706303
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0305299_CDS_DDB0232428:1712182..1712298
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0305299_CDS_DDB0232428:1712375..1712502
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0305299_CDS_DDB0232428:1712607..1713033
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0216396_CDS_DDB0189305:1714909..1715060
[11657] [05-09-2012 16:31:44]:	going to write exon:   _DDB0216396_CDS_DDB0189305:1714591..1714799
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0216396_CDS_DDB0189305:1714281..1714510
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0216396_CDS_DDB0189305:1713023..1714145
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0190333_CDS_DDB0189305:2941507..2941639
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0231481_CDS_DDB0189305:2941887..2943249
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0231834_CDS_DDB0189305:2944283..2945591
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0231834_CDS_DDB0189305:2943611..2944208
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0308176_CDS_DDB0232428:2954279..2954993
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0348952_exon_DDB0232428:2955283..2955724
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0346762_exon_DDB0232428:2956742..2957453
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0346763_exon_DDB0232428:2958223..2958937
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0346764_exon_DDB0232428:2959763..2960474
[11657] [05-09-2012 16:31:45]:	going to write exon:   _DDB0346765_exon_DDB0232428:2961357..2962071
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0190343_CDS_DDB0189305:2957846..2959160
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0216548_CDS_DDB0189305:735213..736290
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0238429_CDS_DDB0232428:771638..772726
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0238429_CDS_DDB0232428:769228..771551
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0347535_exon_DDB0232428:3112631..3113180
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0347535_exon_DDB0232428:3113351..3114887
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0267044_CDS_DDB0232428:600249..600437
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0267044_CDS_DDB0232428:600529..600745
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0267044_CDS_DDB0232428:600828..601536
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0267044_CDS_DDB0232428:601709..603940
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0267044_CDS_DDB0232428:604085..604291
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0308330_exon_DDB0232428:611484..613188
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0347254_exon_DDB0232428:622825..622954
[11657] [05-09-2012 16:31:46]:	going to write exon:   _DDB0347254_exon_DDB0232428:622338..622680
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0305284_CDS_DDB0232428:624026..624219
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0305284_CDS_DDB0232428:623829..623910
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0305284_CDS_DDB0232428:623529..623627
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0306496_exon_DDB0232428:624601..625684
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0234109_CDS_DDB0232428:661667..661998
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0234109_CDS_DDB0232428:662143..662715
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0346738_exon_DDB0232428:670001..670095
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0346738_exon_DDB0232428:670192..670854
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0234026_CDS_DDB0232428:671398..671606
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0234026_CDS_DDB0232428:670929..671306
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0306497_exon_DDB0232428:673241..673485
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0306497_exon_DDB0232428:673569..674981
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0201554_CDS_DDB0189305:4551977..4552025
[11657] [05-09-2012 16:31:47]:	going to write exon:   _DDB0201554_CDS_DDB0189305:4549344..4551870
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0191121_CDS_DDB0189305:3887402..3887405
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0191121_CDS_DDB0189305:3887546..3887665
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0191121_CDS_DDB0189305:3887859..3888067
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0191121_CDS_DDB0189305:3888197..3888377
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0191193_CDS_DDB0189305:2976442..2976445
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0191193_CDS_DDB0189305:2976602..2976953
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0191193_CDS_DDB0189305:2977175..2977271
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0231674_CDS_DDB0189305:4851417..4852011
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0266935_CDS_DDB0232428:4866949..4868363
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0266935_CDS_DDB0232428:4868460..4868807
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0266935_CDS_DDB0232428:4868929..4869288
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0266935_CDS_DDB0232428:4869397..4869829
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0266935_CDS_DDB0232428:4869932..4871086
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0266935_CDS_DDB0232428:4871193..4871669
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0266935_CDS_DDB0232428:4871761..4872568
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0307467_exon_DDB0232428:4875114..4875220
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0307467_exon_DDB0232428:4874884..4874972
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0307467_exon_DDB0232428:4874330..4874785
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0307467_exon_DDB0232428:4873864..4874238
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0307467_exon_DDB0232428:4873373..4873769
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0307467_exon_DDB0232428:4873136..4873283
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0306493_exon_DDB0232428:405932..405975
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0306493_exon_DDB0232428:404871..405837
[11657] [05-09-2012 16:31:48]:	going to write exon:   _DDB0306493_exon_DDB0232428:400349..404764
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0231306_CDS_DDB0189305:400170..401748
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0229999_CDS_DDB0232428:3792642..3792819
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0229999_CDS_DDB0232428:3792196..3792568
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0229999_CDS_DDB0232428:3791041..3792118
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0306534_exon_DDB0232428:1722113..1722152
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0306534_exon_DDB0232428:1721882..1722032
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0306535_exon_DDB0232428:1724891..1725922
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0306535_exon_DDB0232428:1723391..1724781
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0307393_exon_DDB0232428:1727068..1728832
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0346756_exon_DDB0232428:2144873..2145041
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0346756_exon_DDB0232428:2141888..2144594
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0237644_CDS_DDB0232428:2146484..2147533
[11657] [05-09-2012 16:31:49]:	going to write exon:   _DDB0237644_CDS_DDB0232428:2147642..2149458
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0307404_exon_DDB0232428:2157479..2160359
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0306552_exon_DDB0232428:2160759..2161866
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0307405_exon_DDB0232428:2167054..2168395
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0306553_exon_DDB0232428:2174036..2174193
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0306553_exon_DDB0232428:2174455..2174877
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0306553_exon_DDB0232428:2174944..2175768
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0306553_exon_DDB0232428:2175898..2176085
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0229432_CDS_DDB0189305:1799075..1799733
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0229432_CDS_DDB0189305:1798756..1798989
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0229432_CDS_DDB0189305:1796332..1798678
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0307278_CDS_DDB0232428:1807926..1807949
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0307278_CDS_DDB0232428:1808052..1808314
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0307278_CDS_DDB0232428:1808424..1808802
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0201781_CDS_DDB0189305:3131436..3131523
[11657] [05-09-2012 16:31:50]:	going to write exon:   _DDB0201781_CDS_DDB0189305:3131344..3131398
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346747_exon_DDB0232428:3144720..3144837
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346747_exon_DDB0232428:3144201..3144578
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346747_exon_DDB0232428:3143537..3144093
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346747_exon_DDB0232428:3143126..3143455
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346747_exon_DDB0232428:3142902..3143015
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346747_exon_DDB0232428:3142653..3142808
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346747_exon_DDB0232428:3142228..3142523
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346747_exon_DDB0232428:3141821..3142156
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346746_exon_DDB0232428:3144720..3144837
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346746_exon_DDB0232428:3144201..3144578
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346746_exon_DDB0232428:3143537..3144093
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346746_exon_DDB0232428:3143126..3143455
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346746_exon_DDB0232428:3142902..3143015
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346746_exon_DDB0232428:3142626..3142808
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346746_exon_DDB0232428:3142228..3142523
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0346746_exon_DDB0232428:3141821..3142156
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0348954_exon_DDB0232428:989850..990686
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0348954_exon_DDB0232428:990785..990898
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0348954_exon_DDB0232428:991008..991118
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0305117_CDS_DDB0232428:3317581..3319144
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0238180_CDS_DDB0232428:3322755..3322896
[11657] [05-09-2012 16:31:51]:	going to write exon:   _DDB0238180_CDS_DDB0232428:3322485..3322601
